"k","game_key","game_source","game_date","game_number","site_key","season_phase","team_alignment","team_key","opponent_key","r_g","r_w","r_l","r_t","b_g","b_pa","b_ab","b_r","b_h","b_tb","b_2b","b_3b","b_hr","b_hr4","b_rbi","b_gw","b_bb","b_ibb","b_so","b_gdp","b_hp","b_sh","b_sf","b_sb","b_cs","b_xi","b_lob","p_g","p_gs","p_cg","p_sho","p_csho","p_gf","p_w","p_l","p_sv","p_out","p_tbf","p_ab","p_r","season","season_game_number"
"CLE_1999","ANA199904060","evt",1999-04-06,0,"ANA01","R",0,"CLE","ANA",1,0,1,0,1,41,36,5,10,16,1,1,1,0,4,NA,4,0,6,0,0,1,0,0,0,0,9,1,1,0,0,0,1,0,1,0,24,35,32,6,1999,1
"CLE_1999","ANA199904070","evt",1999-04-07,0,"ANA01","R",0,"CLE","ANA",1,1,0,0,1,47,40,9,13,17,4,0,0,0,9,NA,6,0,7,1,1,0,0,2,0,0,11,1,1,0,0,0,1,1,0,0,27,34,31,1,1999,2
"CLE_1999","ANA199904080","evt",1999-04-08,0,"ANA01","R",0,"CLE","ANA",1,1,0,0,1,48,39,9,13,21,3,1,1,0,6,NA,7,0,8,0,1,0,1,1,0,0,12,1,1,0,0,0,1,1,0,0,27,32,31,1,1999,3
"CLE_1999","MIN199904090","evt",1999-04-09,0,"MIN03","R",0,"CLE","MIN",1,1,0,0,1,55,47,14,20,33,8,1,1,0,13,NA,7,0,7,1,1,0,0,2,0,0,14,1,1,0,0,0,1,1,0,0,27,38,36,5,1999,4
"CLE_1999","MIN199904100","evt",1999-04-10,0,"MIN03","R",0,"CLE","MIN",1,1,0,0,1,49,40,12,16,29,7,0,2,0,12,NA,7,1,4,1,0,1,1,3,0,0,10,1,1,0,0,0,1,1,0,0,27,42,38,7,1999,5
"CLE_1999","MIN199904110","evt",1999-04-11,0,"MIN03","R",0,"CLE","MIN",1,1,0,0,1,46,44,9,17,33,8,1,2,0,9,NA,2,0,7,1,0,0,0,0,0,0,10,1,1,0,0,0,1,1,0,1,27,42,34,8,1999,6
"CLE_1999","CLE199904120","evt",1999-04-12,0,"CLE08","R",1,"CLE","KCA",1,1,0,0,1,43,36,5,11,18,1,0,2,0,5,NA,7,1,7,3,0,0,0,0,0,0,10,1,1,0,0,0,1,1,0,0,30,37,35,2,1999,7
"CLE_1999","CLE199904140","evt",1999-04-14,0,"CLE08","R",1,"CLE","KCA",1,1,0,0,1,42,37,11,14,24,4,0,2,0,11,NA,5,1,2,1,0,0,0,1,0,0,7,1,1,0,0,0,1,1,0,0,27,36,34,4,1999,8
"CLE_1999","CLE199904171","evt",1999-04-17,1,"CLE08","R",1,"CLE","MIN",1,1,0,0,1,35,33,5,10,16,1,1,1,0,5,NA,2,0,4,1,0,0,0,3,0,0,6,1,1,0,0,0,1,1,0,0,27,34,32,1,1999,9
"CLE_1999","CLE199904172","evt",1999-04-17,2,"CLE08","R",1,"CLE","MIN",1,0,1,0,1,49,42,8,12,21,1,1,2,0,8,NA,5,0,8,0,0,0,2,0,1,0,8,1,1,0,0,0,1,0,1,0,33,58,49,13,1999,10
"CLE_1999","CLE199904180","evt",1999-04-18,0,"CLE08","R",1,"CLE","MIN",1,1,0,0,1,36,29,3,8,12,1,0,1,0,3,NA,7,0,5,2,0,0,0,0,1,0,9,1,1,0,0,0,1,1,0,1,27,38,33,2,1999,11
"CLE_1999","CLE199904200","evt",1999-04-20,0,"CLE08","R",1,"CLE","OAK",1,1,0,0,1,36,33,5,9,15,3,0,1,0,4,NA,3,0,6,0,0,0,0,0,0,0,7,1,1,0,0,0,1,1,0,0,27,36,30,1,1999,12
"CLE_1999","CLE199904210","evt",1999-04-21,0,"CLE08","R",1,"CLE","OAK",1,1,0,0,1,37,35,5,14,23,0,0,3,0,4,NA,1,0,7,1,0,1,0,0,0,0,8,1,1,0,0,0,1,1,0,0,27,37,34,4,1999,13
"CLE_1999","CLE199904220","evt",1999-04-22,0,"CLE08","R",1,"CLE","OAK",1,0,1,0,1,34,31,1,3,3,0,0,0,0,0,NA,3,0,6,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,27,38,33,4,1999,14
